source_table_index,PREFIX,VARIABLE_NAME,DESCRIPTION,LOCATION_CODE,SCOPE
4,F9_02_,PREP_FIRM_ADDR_STATE,Foreign Address of Preparer Firm (Province or State),F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_ADDR_ZIP,Foreign Address of Preparer Firm (Postal Code),F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_EIN,Employer Identification Number of Preparer Firm,F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_NAME_L1,Paid Preparer Firm Name (Line 1),F990-PC-PART-02,SG
4,F9_02_,PREP_FIRM_NAME_L2,Paid Preparer Firm Name (Line 2),F990-PC-PART-02,SG
4,F9_02_,PREP_PERS_NAME,Paid Preparer Name,F990-PC-PART-02,SG
4,F9_02_,PREP_PERS_PHONE,Paid Preparer Phone,F990-PC-PART-02,SG
4,F9_02_,PREP_PERS_PTIN,Paid Preparer PTIN,F990-PC-PART-02,SG
4,F9_02_,PREP_PERS_SELF_EMPL_X,Indicates that Paid Preparer is Self-Employed,F990-PC-PART-02,SG
4,F9_02_,PREP_PERS_SIGNTR_DATE,Date of Paid Preparer’s Signature,F990-PC-PART-02,SG
4,F9_02_,PREP_SELF_EMPL_X,Indicates that Paid Preparer is Self-Employed,F990-PC-PART-02,SG
4,F9_02_,SIGNING_OFF_NAME_FIRST,Signing Officer Name,F990-PC-PART-02,SG
4,F9_02_,SIGNING_OFF_NAME_LAST,Signing Officer Name,F990-PC-PART-02,SG
4,F9_02_,SIGNING_OFF_NAME,Signing Officer Name,F990-PC-PART-02,SG
4,F9_02_,SIGNING_OFF_PHONE,Signing Officer Phone Number,F990-PC-PART-02,SG
4,F9_02_,SIGNING_OFF_SIGNTR_DATE,Date of Signing Officer’s Signature,F990-PC-PART-02,SG
4,F9_02_,SIGNING_OFF_SSN,Signing officer SSN,F990-PC-PART-02,SG
4,F9_02_,SIGNING_OFF_TITLE,Signing Officer Title,F990-PC-PART-02,SG
4,F9_02_,PREP_PERS_SSN,,F990-PC-PART-02-LINE-00,PC
5,F9_03_,ORG_MISSION_PURPOSE,Mission description,F990-PC-PART-03-LINE-01; F990-EZ-PART-03-LINE-00,PZ
5,F9_03_,PROG_NEW_X,Significant new program services?,F990-PC-PART-03-LINE-02,PC
5,F9_03_,PROG_CHANGE_X,Significant change?,F990-PC-PART-03-LINE-03,PC
6,F9_03_,PROG_CODE,IRS990 - Activity code,F990-PC-PART-03-LINE-04-ABCD,PC
6,F9_03_,PROG_DESC,Program Accomplishment Description,F990-PC-PART-03-LINE-04-ABCD,PZ
6,F9_03_,PROG_EXP,Program Accomplishment Expenses,F990-PC-PART-03-LINE-04-ABCD,PZ
6,F9_03_,PROG_GRANT,Form990 Part III - Grants,F990-PC-PART-03-LINE-04-ABCD; F990-EZ-PART-03-LINE-28-31,PZ
6,F9_03_,PROG_REV,Form990 Part III - Revenue,F990-PC-PART-03-LINE-04-ABCD,PC
7,F9_03_,PROG_CODE,Activity3 - Activity code,F990-PC-PART-03-LINE-04-ABCD,PC
7,F9_03_,PROG_DESC,Program Accomplishment Description,F990-PC-PART-03-LINE-04-ABCD; F990-EZ-PART-03-LINE-28-31,PZ
7,F9_03_,PROG_EXP,Program Accomplishment Expenses,F990-PC-PART-03-LINE-04-ABCD,PZ
7,F9_03_,PROG_GRANT,Program Accomplishment Grants,F990-PC-PART-03-LINE-04-ABCD; F990-EZ-PART-03-LINE-28-31,PZ
7,F9_03_,PROG_REV,Program Accomplishment Revenue,F990-PC-PART-03-LINE-04-ABCD,PC
8,F9_03_,PROG_CODE,Activity2 - Activity code,F990-PC-PART-03-LINE-04-ABCD,PC
8,F9_03_,PROG_DESC,Program Accomplishment Description,F990-PC-PART-03-LINE-04-ABCD; F990-EZ-PART-03-LINE-28-31,PZ
8,F9_03_,PROG_EXP,Program Accomplishment Expenses,F990-PC-PART-03-LINE-04-ABCD,PZ
8,F9_03_,PROG_GRANT,Program Accomplishment Grants,F990-PC-PART-03-LINE-04-ABCD; F990-EZ-PART-03-LINE-28-31,PZ
8,F9_03_,PROG_REV,Program Accomplishment Revenue,F990-PC-PART-03-LINE-04-ABCD,PC
9,F9_03_,INFO_SCHED_O_X,Was Schedule O used to respond to any part of Part III?,F990-PC-PART-03-LINE-00; F990-EZ-PART-03-LINE-00,PZ
9,F9_03_,PROG_EXP_OTH_TOT,Total of other program service expense,F990-PC-PART-03-LINE-04-ABCD,PZ
9,F9_03_,PROG_GRANT_OTH_TOT,Total of other program service grants,F990-PC-PART-03-LINE-04-ABCD,PZ
9,F9_03_,PROG_REV_OTH_TOT,Total of other program service revenue,F990-PC-PART-03-LINE-04-ABCD,PC
9,F9_03_,PROG_EXP_TOT,Total program service expense,F990-PC-PART-03-LINE-04E; F990-EZ-PART-03-LINE-32,PZ
10,F9_03_,PROG_CODE,Activity Other - Activity code,F990-PC-PART-03-LINE-04-ABCD,PC
10,F9_03_,PROG_DESC,Program Accomplishment Description,F990-PC-PART-03-LINE-04-ABCD; F990-EZ-PART-03-LINE-28-31,PZ
10,F9_03_,PROG_EXP,Program Accomplishment Expenses,F990-PC-PART-03-LINE-04-ABCD,PZ
10,F9_03_,PROG_GRANT,Program Accomplishment Grants,F990-PC-PART-03-LINE-04-ABCD; F990-EZ-PART-03-LINE-28-31,PZ
10,F9_03_,PROG_REV,Program Accomplishment Revenue,F990-PC-PART-03-LINE-04-ABCD,PC
11,F9_03_,PROG_DESC,Program Accomplishment Description,F990-EZ-PART-03-LINE-28-31,PZ
11,F9_03_,PROG_GRANT_FRGN_X,Were any foreign grants included for this program,F990-EZ-PART-03-LINE-28-31,EZ
11,F9_03_,PROG_GRANT,Program Accomplishment Grants,F990-EZ-PART-03-LINE-28-31,PZ
11,F9_03_,PROG_EXP,Program Accomplishment Expenses,F990-EZ-PART-03-LINE-28A-31A,PZ
12,F9_04_,DESC_IN_501C3_X,Described in 501(c)(3)?,F990-PC-PART-04-LINE-01,PC
12,F9_04_,SCHED_B_REQ_X,Schedule B required?,F990-PC-PART-04-LINE-02; F990-EZ-PART-00-SECTION-H,PZ
12,F9_04_,POLI_ACT_X,Political activities?,F990-PC-PART-04-LINE-03; F990-EZ-PART-05-LINE-46,PZ
12,F9_04_,LOB_ACT_X,Lobbying activities?,F990-PC-PART-04-LINE-04; F990-EZ-PART-06-LINE-47,PZ
12,F9_04_,PROXY_TAX_X,Subject to proxy tax?,F990-PC-PART-04-LINE-05; F990-EZ-PART-05-LINE-35C,PZ
12,F9_04_,DAF_X,Donor advised funds?,F990-PC-PART-04-LINE-06; F990-EZ-PART-05-LINE-44A,PZ
12,F9_04_,CONSERV_EMT_X,Conservation easements?,F990-PC-PART-04-LINE-07,PC
12,F9_04_,COLLEC_ART_X,Collections of art?,F990-PC-PART-04-LINE-08,PC
12,F9_04_,CREDIT_COUNS_X,Credit counseling?,F990-PC-PART-04-LINE-09,PC
12,F9_04_,ENDOW_X,Term or permanent endowments?,F990-PC-PART-04-LINE-10,PC
12,F9_04_,REP_BALANCE_SHEET_AMT_X,Balance sheet amounts reported?,F990-PC-PART-04-LINE-11,PC
12,F9_04_,REP_LAND_BLDG_EQUIP_X,Balance sheet land; buildings; equipment amounts reported?,F990-PC-PART-04-LINE-11A,PC
12,F9_04_,REP_INVEST_OTH_SEC_X,Balance sheet investments - other securities amounts reported?,F990-PC-PART-04-LINE-11B,PC
12,F9_04_,REP_PROG_RLTD_X,Balance sheet investments - program related amounts reported?,F990-PC-PART-04-LINE-11C,PC
12,F9_04_,REP_OTH_ASSET_X,Balance sheet other assets amounts reported?,F990-PC-PART-04-LINE-11D,PC
12,F9_04_,REP_OTH_LIAB_X,Balance sheet other liabilities amounts reported?,F990-PC-PART-04-LINE-11E,PC
12,F9_04_,REP_FOOTNOTE_FIN48_X,Balance sheet footnote for liability under FIN 48?,F990-PC-PART-04-LINE-11F,PC
12,F9_04_,AFS_IND_X,Independent audited financial statements?,F990-PC-PART-04-LINE-12A,PC
12,F9_04_,AFS_CONSOL_X,Consolidated audited financial statement?,F990-PC-PART-04-LINE-12B,PC
12,F9_04_,SCHOOL_X,IRS990 - School?,F990-PC-PART-04-LINE-13; F990-EZ-PART-06-LINE-48,PZ
12,F9_04_,FRGN_OFFICE_X,At any time during the calender year; did the organization maintain an office outside of the U.S.?,F990-PC-PART-04-LINE-14A; F990-EZ-PART-05-LINE-42C,PZ
12,F9_04_,FRGN_ACT_X,Foreign activities; etc?,F990-PC-PART-04-LINE-14B,PC
12,F9_04_,GRANT_MT_5K_FRGN_ORG_X,More than $5000 to organizations Part IX; line 3?,F990-PC-PART-04-LINE-15,PC
12,F9_04_,GRANT_MT_5K_FRGN_INDIV_X,More than $5000 to individuals Part IX; line 3?,F990-PC-PART-04-LINE-16,PC
12,F9_04_,PROF_FUNDR_X,Professional fundraising?,F990-PC-PART-04-LINE-17,PC
12,F9_04_,FUNDR_ACT_X,Fundraising activities?,F990-PC-PART-04-LINE-18,PC
12,F9_04_,GAMING_X,Form990 Part IV - Gaming?,F990-PC-PART-04-LINE-19; F990-EZ-PART-01-LINE-06,PZ
12,F9_04_,HOSPITAL_X,Form990 Part IV - Hospital?,F990-PC-PART-04-LINE-20A; F990-EZ-PART-05-LINE-44B,PC
12,F9_04_,HOSPITAL_AFS_X,Audited financial statements?,F990-PC-PART-04-LINE-20B,PC
12,F9_04_,GRANT_MT_5K_US_ORG_X,Grants to organizations?,F990-PC-PART-04-LINE-21,PC
12,F9_04_,GRANT_MT_5K_US_INDIV_X,Grants to individuals?,F990-PC-PART-04-LINE-22,PC
12,F9_04_,COMP_DTK_YES_X,PartVII; Lines 3; 4; or 5 = “Yes”?,F990-PC-PART-04-LINE-23,PC
12,F9_04_,TAX_EXEMPT_BOND_X,Tax exempt bonds?,F990-PC-PART-04-LINE-24A,PC
12,F9_04_,TAX_EXEMPT_BOND_INVEST_X,Investment income?,F990-PC-PART-04-LINE-24B,PC
12,F9_04_,TAX_EXEMPT_BOND_ISSUER_X,On behalf of issuer?,F990-PC-PART-04-LINE-24D; F990-PC-PART-04-LINE-24B,PC
12,F9_04_,TAX_EXEMPT_BOND_ESCROW_X,Did the organization maintain an escrow account other than a refunding escrow at any time during the year to defease any tax-exempt bonds?,F990-PC-PART-04-LINE-24C,PC
12,F9_04_,TRANSAC_ENGAGED_X,501(c)(3) and 501(c)(4) orgs: Did the organization engage in any section 4958 excess benefit transaction,F990-PC-PART-04-LINE-25A; F990-EZ-PART-05-LINE-40B,PZ
12,F9_04_,TRANSAC_PY_X,Prior excess benefit transaction?,F990-PC-PART-04-LINE-25B,PZ
12,F9_04_,LOAN_DTK_X,Loan to officer or DQP?,F990-PC-PART-04-LINE-26; F990-EZ-PART-05-LINE-38A,PZ
12,F9_04_,GRANT_RLTD_PERS_X,Grant to related person?,F990-PC-PART-04-LINE-27,PC
12,F9_04_,BIZ_TRANSAC_DTK_X,"Was the organization a party to a business transaction with one of the following parties: A current former officer, director, trustee, or key employee?",F990-PC-PART-04-LINE-28A,PC
12,F9_04_,BIZ_TRANSAC_DTK_FAM_X,"Was the organization a party to a business transaction with one of the following parties: A family member of a current or former officer, director, trustee, or key employee?",F990-PC-PART-04-LINE-28B,PC
12,F9_04_,BIZ_TRANSAC_DTK_ENTITY_X,"A 35% controlled entity of one or more individuals and/or organizations described in line 28a or 28b? If Yes, complete Schedule L, Part IV",F990-PC-PART-04-LINE-28C,PC
12,F9_04_,CONTR_NONCSH_MT_25K_X,"Did the organization receive more than $25,000 in non-cash contributions?",F990-PC-PART-04-LINE-29,PC
12,F9_04_,CONTR_ART_HIST_X,"Did the organization receive contributions of art, historical treasures, or other similar assets, or qualified conservation contributions?",F990-PC-PART-04-LINE-30,PC
12,F9_04_,LTD_X,Form990 Part IV - Terminated? (F990-PC-PART-04-LINE-31-32-COMBINED: F990-EZ-PART-05-LINE-36),F990-PC-PART-04-LINE-31,PZ
12,F9_04_,DOA_X,Partial liquidation? (F990-PC-PART-04-LINE-31-32-COMBINED: F990-EZ-PART-05-LINE-36),F990-PC-PART-04-LINE-32,PZ
12,F9_04_,ENTITY_DISREG_X,Did the organization own 100% of an entity disregarded as sperate from the organization under Regulations sections 301.7701.2 and 301.7701-3?,F990-PC-PART-04-LINE-33,PC
12,F9_04_,ENTITY_RLTD_X,Related entity?,F990-PC-PART-04-LINE-34,PC
12,F9_04_,ENTITY_CTRL_X,Did the organization have a controlled entity within the meaning of section 512(b)(13)?,F990-PC-PART-04-LINE-35A; F990-EZ-PART-05-LINE-45A,PZ
