output_column,source_family,rows_total,rows_nonnull,fill_rate,distinct_nonnull_count,column_group,example_source_column
harm_county_fips__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_county_fips__source_column,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_county_fips__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_county_fips__source_column,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_region__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_region__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_region__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_region__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_region__source_variant,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_region__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_region__source_variant,nccs_efile,3866,3866,1.0,3,field_provenance,
harm_region__source_variant,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_region__source_column,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_region__source_column,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_region__source_column,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_region__source_column,nccs_postcard,3461,3461,1.0,1,field_provenance,
harm_ntee_code__source_family,givingtuesday_datamart,4381,3585,0.8183063227573614,1,field_provenance,
harm_ntee_code__source_family,nccs_bmf,29793,21418,0.7188936998623838,1,field_provenance,
harm_ntee_code__source_family,nccs_efile,3866,3160,0.8173823072943611,1,field_provenance,
harm_ntee_code__source_family,nccs_postcard,3461,2155,0.6226524125975151,1,field_provenance,
harm_ntee_code__source_variant,givingtuesday_datamart,4381,3585,0.8183063227573614,3,field_provenance,
harm_ntee_code__source_variant,nccs_bmf,29793,21418,0.7188936998623838,5,field_provenance,
harm_ntee_code__source_variant,nccs_efile,3866,3160,0.8173823072943611,3,field_provenance,
harm_ntee_code__source_variant,nccs_postcard,3461,2155,0.6226524125975151,4,field_provenance,
harm_ntee_code__source_column,givingtuesday_datamart,4381,3585,0.8183063227573614,2,field_provenance,
